Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Wind Chill,R,Gregory Jacobs,English,United States,tt0486051,36804.0,58.0,46.0,52.0,Emily Blunt, Ashton Holmes, Martin Donovan,
Rocket Science,R,Jeffrey Blitz,English,United States,tt0477078,714943.0,66.0,84.0,73.0,Reece Thompson, Anna Kendrick, Nicholas D'Agosto,
Daddy Day Camp,PG,Fred Savage,English,,tt0462244,,32.0,1.0,13.0,Cuba Gooding Jr., Lochlyn Munro, Richard Gant,
The Invasion,PG-13,Oliver Hirschbiegel,English,United States,tt0427392,15074191.0,59.0,20.0,45.0,Nicole Kidman, Daniel Craig, Jeremy Northam,
War,R,Philip G. Atwell,English,Canada,tt0499556,22486409.0,62.0,,36.0,Jet Li, Jason Statham, Nadine Velazquez,
Illegal Tender,R,Franc. Reyes,English,United States,tt0775488,3106835.0,54.0,15.0,40.0,Rick Gonzalez, Wanda De Jesus, Dania Ramirez,
The Nanny Diaries,PG-13,"Shari Springer Berman, Robert Pulcini",English,United States,tt0489237,25930652.0,62.0,,46.0,Scarlett Johansson, Laura Linney, Paul Giamatti,
September Dawn,R,Christopher Cain,English,United States,tt0473700,1066555.0,58.0,16.0,25.0,Jon Voight, Trent Ford, Tamara Hope,
Halloween,R,Rob Zombie,English,United States,tt0373883,58272029.0,60.0,28.0,47.0,Scout Taylor-Compton, Malcolm McDowell, Tyler Mane,
Death Sentence,R,James Wan,English,United States,tt0804461,9534258.0,67.0,20.0,36.0,Kevin Bacon, John Goodman, Kelly Preston,
Two Days in Paris,R,Julie Delpy,English,France,tt0841044,4433994.0,67.0,88.0,67.0,Julie Delpy, Adam Goldberg, Daniel Brühl,
The King of Kong: A Fistful of Quarters,PG-13,Seth Gordon,English,United States,tt0923752,677914.0,80.0,97.0,83.0,Steve Wiebe, Billy Mitchell, Mark Alpiger,
Taxi 4,Not Rated,Gérard Krawczyk,French,France,tt0804540,,55.0,,,Samy Naceri, Frédéric Diefenthal, Bernard Farcy,
The Brothers Solomon,R,Bob Odenkirk,English,United States,tt0784972,900926.0,53.0,16.0,32.0,Will Arnett, Will Forte, Jenna Fischer,
The Nines,R,John August,English,United States,tt0810988,63165.0,62.0,64.0,52.0,Ryan Reynolds, Hope Davis, Melissa McCarthy,
Hunting and Gathering,Not Rated,Claude Berri,French,France,tt0792965,,67.0,100.0,,Audrey Tautou, Guillaume Canet, Laurent Stocker,
New Wave,,Gaël Morel,French,France,tt1286600,,61.0,,,Béatrice Dalle, Valentin Ducommun, Victor Chambon,
The Good Night,R,Jake Paltrow,English,United Kingdom,tt0484111,22441.0,58.0,30.0,49.0,Martin Freeman, Gwyneth Paltrow, Penélope Cruz,
Planet Terror,R,Robert Rodriguez,English,United States,tt1077258,,71.0,76.0,,Rose McGowan, Freddy Rodríguez, Josh Brolin,
3:10 to Yuma,R,James Mangold,English,United States,tt0381849,53606916.0,77.0,89.0,76.0,Russell Crowe, Christian Bale, Ben Foster,
Shoot 'Em Up,R,Michael Davis,English,United States,tt0465602,12807139.0,66.0,67.0,49.0,Clive Owen, Monica Bellucci, Paul Giamatti,
The Ten,R,David Wain,English,United States,tt0811106,769726.0,49.0,35.0,50.0,Paul Rudd, Jessica Alba, Winona Ryder,
Atonement,R,Joe Wright,English,United Kingdom,tt0783233,50927067.0,78.0,83.0,85.0,Keira Knightley, James McAvoy, Brenda Blethyn,
My Winnipeg,Not Rated,Guy Maddin,English,Canada,tt1093842,159363.0,76.0,95.0,84.0,Darcy Fehr, Ann Savage, Louis Negin,
"4 Months, 3 Weeks and 2 Days",Not Rated,Cristian Mungiu,Romanian,Romania,tt1032846,1198208.0,79.0,96.0,97.0,Anamaria Marinca, Laura Vasiliu, Vlad Ivanov,
No End in Sight,Not Rated,Charles Ferguson,English,United States,tt0912593,1433319.0,82.0,96.0,89.0,Campbell Scott, Gerald Burke, Ali Fadhil,
The Brave One,R,Neil Jordan,English,United States,tt0476964,36793804.0,67.0,43.0,56.0,Jodie Foster, Terrence Howard, Naveen Andrews,
In the Valley of Elah,R,Paul Haggis,English,,tt0478134,,72.0,74.0,65.0,Tommy Lee Jones, Charlize Theron, Jonathan Tucker,
December Boys,PG-13,Rod Hardy,English,Australia,tt0465436,50715.0,65.0,41.0,56.0,Daniel Radcliffe, Teresa Palmer, Lee Cormie,
Shanghai Kiss,Not Rated,"Kern Konwiser, David Ren",English,United States,tt0469184,,66.0,,,Ken Leung, Hayden Panettiere, Kelly Hu,
The Hunting Party,R,Richard Shepard,English,United States,tt0455782,969869.0,68.0,55.0,54.0,Richard Gere, Terrence Howard, Jesse Eisenberg,
Eastern Promises,R,David Cronenberg,English,United Kingdom,tt0765443,17266000.0,76.0,89.0,83.0,Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl,
Brooklyn Rules,R,Michael Corrente,English,United States,tt0283503,458232.0,63.0,45.0,53.0,Paulo Araujo, Daniel Tay, Ty Thomas Reed,
In the Shadow of the Moon,PG,David Sington,English,United Kingdom,tt0925248,1134358.0,80.0,95.0,84.0,Buzz Aldrin, Alan Bean, Eugene Cernan,
Interview,R,Steve Buscemi,English,United States,tt0480269,416951.0,68.0,58.0,64.0,Sienna Miller, Steve Buscemi, Michael Buscemi,
Bobby Z,R,John Herzfeld,English,United States,tt0473188,,58.0,,,Paul Walker, Laurence Fishburne, Olivia Wilde,
Resident Evil: Extinction,R,Russell Mulcahy,English,Germany,tt0432021,50648679.0,62.0,24.0,41.0,Milla Jovovich, Ali Larter, Oded Fehr,
Mr. Woodcock,PG-13,Craig Gillespie,English,United States,tt0419984,25799486.0,52.0,14.0,41.0,Billy Bob Thornton, Seann William Scott, Susan Sarandon,
Good Luck Chuck,R,Mark Helfrich,English,United States,tt0452625,35017297.0,56.0,5.0,19.0,Dane Cook, Jessica Alba, Dan Fogler,
Into the Wild,R,Sean Penn,English,United States,tt0758758,18354356.0,81.0,83.0,73.0,Emile Hirsch, Vince Vaughn, Catherine Keener,
The Game Plan,PG,Andy Fickman,English,United States,tt0492956,90648202.0,61.0,29.0,44.0,Dwayne Johnson, Kyra Sedgwick, Madison Pettis,
"Lust, Caution",NC-17,Ang Lee,Mandarin,Taiwan,tt0808357,4604982.0,75.0,72.0,61.0,Tony Chiu-Wai Leung, Tang Wei, Joan Chen,
Feast of Love,R,Robert Benton,English,United States,tt0800027,3511074.0,66.0,39.0,51.0,Morgan Freeman, Radha Mitchell, Alexa Davalos,
Postal,R,Uwe Boll,English,United States,tt0486640,,44.0,9.0,22.0,Zack Ward, David Foley, Verne Troyer,
The Seeker: The Dark Is Rising,PG,David L. Cunningham,English,United States,tt0484562,8794452.0,47.0,,38.0,Alexander Ludwig, Ian McShane, Christopher Eccleston,
The Heartbreak Kid,R,"Bobby Farrelly, Peter Farrelly",English,United States,tt0408839,36787257.0,58.0,29.0,46.0,Ben Stiller, Michelle Monaghan, Malin Akerman,
Dan in Real Life,PG-13,Peter Hedges,English,United States,tt0480242,47642963.0,68.0,65.0,65.0,Steve Carell, Juliette Binoche, Dane Cook,
The Darjeeling Limited,R,Wes Anderson,English,United States,tt0838221,11902715.0,72.0,69.0,67.0,Owen Wilson, Adrien Brody, Jason Schwartzman,
