imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt3640710,Kim Dotcom: Caught in the Web,2017,03,,70.0,66.0,66.0,66.0,TV-PG,Annie Goldson,English,New Zealand,108.0,Kim Dotcom, Alan Curtis, France Komoroske,Documentary,,
tt4180286,Valley of Bones,2017,09,168738.0,42.0,50.0,50.0,50.0,R,Dan Glaser,English,United States,90.0,Autumn Reeser, Rhys Coiro, Steven Molony,Western,Crime,Thriller
tt6628228,Gogol. Nachalo,2017,08,,58.0,65.0,65.0,65.0,Not Rated,Egor Baranov,Russian,Russia,100.0,Margarita Adaeva, Sergey Badyuk, Filipp Dyachkov,Mystery,Adventure,Thriller
tt6338476,Lost in London,2017,01,,62.0,75.0,61.0,61.0,Not Rated,Woody Harrelson,English,United States,103.0,Daniel Radcliffe, Woody Harrelson, Owen Wilson,Comedy,Drama,
tt1401621,A Boy Called Po,2016,04,4550.0,65.0,62.0,47.0,62.0,PG,John Asher,English,United States,95.0,Christopher Gorham, Julian Feder, Kaitlin Doubleday,Fantasy,Drama,
tt1680043,Saint Philip Neri: I Prefer Heaven,2010,09,,79.0,72.67,72.67,72.67,,Giacomo Campiotti,Italian,Italy,200.0,Roberto Citran, Sergio Fiorentini, Stefano Fregni,Drama,,
tt1327890,Sant'Agostino,2010,01,,67.0,50.0,50.0,50.0,,Christian Duguay,Italian,Italy,200.0,Alessandro Preziosi, Monica Guerritore, Alexander Held,Drama,,
tt6275674,A Puppy for Christmas,2016,11,,59.0,64.0,64.0,64.0,TV-PG,Justin G. Dyck,English,United States,85.0,Cindy Busby, Greyston Holt, Christopher Russell,Family,TV Movie,
tt5669936,The Recall,2017,06,22943.0,42.0,0.0,45.57000000000001,45.57000000000001,R,Mauro Borrelli,English,Canada,91.0,Wesley Snipes, RJ Mitte, Jedidiah Goodacre,Science Fiction,Horror,
tt1266566,Frag,2008,10,,65.0,66.0,66.0,66.0,,Mike Pasley,English,United States,88.0,Michal Blicharz, Rafik Bryant, Walter Day,Documentary,,
tt1031951,PVC-1,2007,05,,67.0,63.0,63.0,63.0,Not Rated,Spiros Stathoulopoulos,Spanish,Colombia,85.0,Hugo Pereira, Daniel Páez, Gilberto Ramirez,Drama,Thriller,
tt3854234,"The Boss, Anatomy of a Crime",2014,10,,73.0,77.32000000000001,77.32000000000001,77.32000000000001,,Sebastián Schindel,Spanish,Argentina,98.0,Guillermo Pfening, Andrea Garrote, Joaquín Furriel,Drama,Crime,
tt3645068,Nat King Cole: Afraid of the Dark,2014,05,,70.0,72.0,72.0,72.0,TV-14,Jon Brewer,English,United Kingdom,90.0,Nat 'King' Cole, Tony Bennett, Ralph Carmichael,Documentary,,
tt4875774,Footnotes,2016,07,6660.0,56.0,65.0,60.0,63.0,,"Paul Calori, Kostia Testut",French,France,90.0,Pauline Etienne, Olivier Chantreau, François Morel,Music,Comedy,
tt3830312,Atomic Falafel,2015,09,,59.0,61.0,61.0,61.0,,Dror Shaul,Hebrew,Israel,93.0,Michelle Treves, Shai Avivi, Mali Levi,Comedy,,
tt5631456,Just Like Our Parents,2017,07,,72.0,100.0,72.88,72.88,,Laís Bodanzky,Portuguese,Brazil,102.0,Maria Ribeiro, Clarisse Abujamra, Paulo Vilhena,Drama,,
tt5975354,Baby Bump(s),2017,03,,51.0,58.38,58.38,58.38,TV-PG,Noémie Saglio,French,France,94.0,Juliette Binoche, Camille Cottin, Lambert Wilson,Comedy,,
tt5912052,Rudolf the Black Cat,2016,08,,66.0,67.0,67.0,67.0,,"Motonori Sakakibara, Kunihiko Yuyama",Japanese,Japan,89.0,Mao Inoue, Ryohei Suzuki, Akio Ôtsuka,Comedy,Animation,Adventure
tt4837062,The Long Excuse,2016,10,,72.0,100.0,63.0,63.0,,Miwa Nishikawa,Japanese,Japan,124.0,Masahiro Motoki, Pistol Takehara, Eri Fukatsu,Drama,,
tt3286560,The Last Face,2017,01,,49.0,8.0,16.0,56.04,R,Sean Penn,English,United States,130.0,Charlize Theron, Javier Bardem, Brandon Phillips,Drama,,
tt5854198,The Atoning,2017,02,,42.0,67.0,57.0,57.0,TV-MA,Michael Williams,English,United States,89.0,Virginia Newcomb, Cannon Bosarge, Michael LaCour,Drama,Horror,Thriller
tt2066069,Spanners,2015,01,,52.0,50.0,50.0,50.0,,Jonathan Maas,English,United States,85.0,Shawn Christian, Rane Jameson, Eric Roberts,Fantasy,Mystery,Science Fiction
tt2425542,7 Años de Matrimonio,2013,01,,50.0,49.44,49.44,49.44,,Joel Núñez Arocha,Spanish,Mexico,99.0,Ximena Herrera, Víctor González, Roberto Palazuelos,Comedy,Romance,
tt1772398,The Strange Thing About the Johnsons,2011,01,,72.0,69.24000000000001,69.24000000000001,69.24000000000001,,Ari Aster,English,United States,30.0,Billy Mayo, Brandon Greenhouse, Angela Bullock,Drama,Comedy,
