Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Hair,PG,Milos Forman,English,West Germany,tt0079261,15284643.0,75.0,82.0,68.0,John Savage, Treat Williams, Beverly D'Angelo,
Love at First Bite,PG,Stan Dragoti,English,United States,tt0079489,43885000.0,61.0,70.0,62.0,George Hamilton, Susan Saint James, Richard Benjamin,
The Hitchhiker's Guide to the Galaxy,TV-PG,,English,United Kingdom,tt0081874,,80.0,,,Simon Jones, David Dixon, Peter Jones,
Blue Thunder,R,John Badham,English,United States,tt0085255,42313354.0,64.0,78.0,66.0,Roy Scheider, Warren Oates, Candy Clark,
The Day After,TV-PG,Nicholas Meyer,English,United States,tt0085404,,70.0,83.0,,Jason Robards, JoBeth Williams, Steve Guttenberg,
Eddie Murphy: Delirious,Not Rated,Bruce Gowers,English,United States,tt0085474,,81.0,83.0,,Eddie Murphy, James Argiro, Gus Loundermon,
El Norte,R,Gregory Nava,Spanish,Mexico,tt0085482,27920.0,77.0,92.0,75.0,Zaide Silvia Gutiérrez, David Villalpando, Ernesto Gómez Cruz,
Twilight Zone: The Movie,PG,"Joe Dante, John Landis, George Miller",English,United States,tt0086491,29450919.0,64.0,59.0,44.0,Dan Aykroyd, Albert Brooks, Vic Morrow,
Boy Meets Girl,Not Rated,Leos Carax,French,France,tt0086994,12589.0,69.0,100.0,,Denis Lavant, Mireille Perrier, Carroll Brooks,
Cloak & Dagger,PG,Richard Franklin,English,,tt0087065,,65.0,67.0,64.0,Henry Thomas, Dabney Coleman, Michael Murphy,
The Ewok Adventure,TV-G,John Korty,English,United States,tt0087225,,53.0,21.0,,Eric Walker, Warwick Davis, Fionnula Flanagan,
"Silent Night, Deadly Night",R,Charles E. Sellier Jr.,English,United States,tt0088117,2491460.0,58.0,44.0,31.0,Lilyan Chauvin, Gilmer McCormick, Toni Nero,
The Times of Harvey Milk,Not Rated,Rob Epstein,English,United States,tt0088275,13801.0,82.0,96.0,,Harvey Fierstein, Harvey Milk, Anne Kronenberg,
What Have I Done to Deserve This?,Not Rated,Pedro Almodóvar,Spanish,Spain,tt0088461,,71.0,78.0,,Carmen Maura, Gonzalo Suárez, Luis Hostalot,
Anne of Green Gables,TV-G,,English,Canada,tt0088727,,85.0,83.0,,Megan Follows, Colleen Dewhurst, Richard Farnsworth,
Death of a Salesman,PG,Volker Schlöndorff,English,United States,tt0089006,,72.0,100.0,,Dustin Hoffman, Kate Reid, John Malkovich,
Ewoks: The Battle for Endor,TV-G,"Jim Wheat, Ken Wheat",English,United States,tt0089110,,54.0,,,Wilford Brimley, Warwick Davis, Aubree Miller,
Police Story,PG-13,"Jackie Chan, Chi-Hwa Chen",Cantonese,Hong Kong,tt0089374,113164.0,75.0,93.0,78.0,Jackie Chan, Maggie Cheung, Brigitte Lin,
The Quiet Earth,R,Geoff Murphy,English,New Zealand,tt0089869,2123135.0,67.0,71.0,,Bruno Lawrence, Alison Routledge, Pete Smith,
Spies Like Us,PG,John Landis,English,United States,tt0090056,60106536.0,64.0,32.0,22.0,Chevy Chase, Dan Aykroyd, Mark Stewart,
White Nights,PG-13,Taylor Hackford,English,United States,tt0090319,42160849.0,66.0,46.0,46.0,Mikhail Baryshnikov, Gregory Hines, Jerzy Skolimowski,
'Round Midnight,R,Bertrand Tavernier,English,United States,tt0090557,3272593.0,74.0,96.0,,Dexter Gordon, François Cluzet, Gabrielle Haker,
Club Paradise,PG-13,Harold Ramis,English,United States,tt0090856,12308521.0,51.0,,40.0,Robin Williams, Peter O'Toole, Rick Moranis,
The Sacrifice,PG,Andrei Tarkovsky,Swedish,Sweden,tt0091670,81963.0,79.0,86.0,,Erland Josephson, Susan Fleetwood, Allan Edwall,
A Better Tomorrow,Not Rated,John Woo,Cantonese,Hong Kong,tt0092263,,74.0,93.0,78.0,Lung Ti, Leslie Cheung, Chow Yun-Fat,
G.I. Joe: The Movie,PG,Don Jurwich,English,Japan,tt0093066,,71.0,43.0,,Charlie Adler, Shuko Akune, Jack Angel, Michael Bell
Hell Comes to Frogtown,R,"Donald G. Jackson, R.J. Kizer",English,United States,tt0093171,,55.0,56.0,,Julius LeFlore, RCB, Roddy Piper,
Law of Desire,NC-17,Pedro Almodóvar,Spanish,Spain,tt0093412,72442.0,71.0,100.0,,Eusebio Poncela, Carmen Maura, Antonio Banderas,
Prince of Darkness,R,John Carpenter,English,United States,tt0093777,14182492.0,66.0,61.0,50.0,Donald Pleasence, Lisa Blount, Jameson Parker,
A Chinese Ghost Story,Unrated,Siu-Tung Ching,Cantonese,Hong Kong,tt0093978,,74.0,67.0,,Leslie Cheung, Joey Wang, Wu Ma,
A Better Tomorrow II,Not Rated,John Woo,Mandarin,Hong Kong,tt0094357,,72.0,80.0,,Leslie Cheung, Chow Yun-Fat, Lung Ti,
Dominick and Eugene,PG-13,Robert M. Young,English,United States,tt0095050,3076031.0,70.0,77.0,,Tom Hulce, Ray Liotta, Jamie Lee Curtis,
Killer Klowns from Outer Space,PG-13,Stephen Chiodo,English,United States,tt0095444,,62.0,76.0,43.0,Grant Cramer, Suzanne Snyder, John Allen Nelson,
Moonwalker,PG,"Jerry Kramer, Colin Chilvers",English,United States,tt0095655,,60.0,,,Michael Jackson, Joe Pesci, Sean Lennon,
Alice,Not Rated,Jan Svankmajer,Czech,Czechoslovakia,tt0095715,,74.0,95.0,,Kristýna Kohoutová, Camilla Power,,
Life Is a Long Quiet River,,Étienne Chatiliez,French,,tt0096386,,,,,Benoît Magimel, Hélène Vincent, Valérie Lalande,
Kiki's Delivery Service,G,Hayao Miyazaki,Japanese,Japan,tt0097814,1004057.0,78.0,,83.0,Kirsten Dunst, Minami Takayama, Rei Sakuma,
Almost an Angel,PG,John Cornell,English,United States,tt0099018,6939946.0,55.0,33.0,,Paul Hogan, Linda Kozlowski, Elias Koteas,
Cry-Baby,PG-13,John Waters,English,United States,tt0099329,8266343.0,65.0,72.0,63.0,Johnny Depp, Ricki Lake, Amy Locane,
Bullet in the Head,Not Rated,John Woo,Cantonese,Hong Kong,tt0099426,,75.0,100.0,,Tony Chiu-Wai Leung, Jacky Cheung, Waise Lee,
Ghost Dad,PG,Sidney Poitier,English,United States,tt0099654,24707633.0,44.0,6.0,,Bill Cosby, Kimberly Russell, Denise Nicholas,
Ju Dou,PG-13,"Yimou Zhang, Fengliang Yang",Mandarin,China,tt0099902,1986433.0,76.0,100.0,,Gong Li, Wei Li, Baotian Li,
The Krays,R,Peter Medak,English,United Kingdom,tt0099951,2060847.0,66.0,82.0,70.0,Gary Kemp, Martin Kemp, Billie Whitelaw,
