imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt5672048,Your Lie in April,2016,9,11444510.0,68.0,69.0,69.0,69.0,TV-14,Takehiko Shinjô,Japanese,Japan,122.0,Kento Yamazaki, Suzu Hirose, Anna Ishii,Drama,Music,Romance,0.0,0.0,12920951.783489648,16.374360721058174,Drama,Music
tt2210879,Sunday League - Pepik Hnatek's Final Match,2012,3,2360343.0,71.0,66.11,66.11,66.11,Unknown,Jan Prusinovský,Czech,Czech Republic,0.0,Miroslav Krobot, Ondrej Vetchý, David Novotný,Comedy,Drama,Unknown,0.0,0.0,2785709.3073425265,14.840013087369254,Comedy,Drama
tt7147540,Sui Dhaaga: Made in India,2018,9,790628.0,68.0,91.0,70.94,70.94,Not Rated,Sharat Katariya,Hindi,India,150.0,Anushka Sharma, Varun Dhawan, Raghuvir Yadav,Comedy,Drama,Family,0.0,0.0,853168.0485211485,13.656711815887418,Comedy,Drama
tt1517216,Mai Mai Miracle,2009,11,75529.0,69.0,69.0,69.0,69.0,Unknown,Sunao Katabuchi,Japanese,Unknown,94.0,Masao Agawa, Chisa Bandai, Romy Beckman,Drama,Action/Adventure,Drama,0.0,0.0,95396.5662333304,11.465797863427284,Drama,Action/Adventure
tt7201846,"Cyrano, My Love",2018,11,351019.0,73.0,81.0,61.0,75.49000000000001,R,Alexis Michalik,French,France,113.0,Thomas Solivérès, Olivier Gourmet, Mathilde Seigner,Comedy,History,Unknown,0.0,0.0,378785.2127977317,12.844724602567291,Comedy,History
tt4129876,Winterkartoffelknödel,2014,10,4194879.0,69.0,69.87,69.87,69.87,Unknown,Ed Herzog,German,Germany,96.0,Sebastian Bezzel, Simon Schwarz, Lisa Maria Potthoff,Comedy,Crime,Unknown,0.0,0.0,4801493.48907644,15.384437571040593,Comedy,Crime
tt3878978,Reparation,2016,9,22267.0,59.0,58.0,58.0,58.0,Unknown,Kyle Ham,English,United States,105.0,Jon Huertas, Marc Menchaca, Virginia Newcomb,Thriller/Horror,Drama,Unknown,0.0,0.0,25139.63755223806,10.132201064866008,Drama,Thriller/Horror
tt1134860,Smoke Gets in Your Eyes,2009,12,197319.0,67.0,63.0,63.0,63.0,Unknown,Anna Muylaert,Portuguese,Brazil,85.0,Glória Pires, Paulo Miklos, Alessandra Colassanti,Romance,Drama,Comedy,0.0,0.0,249222.8819737388,12.426102883404551,Comedy,Romance
tt1465474,Before the World Ends,2010,8,92934.0,70.0,59.0,59.0,59.0,Unknown,Ana Luiza Azevedo,Portuguese,Brazil,104.0,Eduardo Cardoso, Murilo Grossi, Caroline Guedes,Action/Adventure,Drama,Unknown,0.0,0.0,115485.59076567488,11.656901045885856,Action/Adventure,Drama
tt1529240,Brownian Movement,2010,3,16942.0,47.0,59.900000000000006,59.900000000000006,59.900000000000006,Not Rated,Nanouk Leopold,English,Netherlands,97.0,Sandra Hüller, Dragan Bakema, Sabine Timoteo,Romance,Drama,Unknown,0.0,0.0,21053.186979491507,9.954807228101538,Drama,Romance
tt1548542,Bornova Bornova,2009,11,74776.0,70.0,68.67,68.67,68.67,Unknown,Inan Temelkuran,Turkish,Turkey,92.0,Kadir Çermik, Öner Erkan, Damla Sönmez,Drama,Unknown,Unknown,0.0,0.0,94445.49294527284,11.455778152842132,Drama,Unknown
tt1576382,Brother and Sister,2010,4,219010.0,65.0,66.56,66.56,66.56,Unknown,Daniel Burman,Spanish,Argentina,105.0,Antonio Gasalla, Graciela Borges, Elena Lucena,Comedy,Drama,Unknown,0.0,0.0,272155.4999633122,12.514128872966657,Comedy,Drama
tt8031554,L Storm,2018,8,597922.0,57.0,74.0,74.0,74.0,Unknown,David Lam,Cantonese,Hong Kong,97.0,Louis Koo, Julian Cheung, Kevin Cheng,Action/Adventure,Crime,Thriller/Horror,0.0,0.0,645218.6690932551,13.377344560172997,Action/Adventure,Crime
tt8398768,Dany,2018,5,2080679.0,58.0,53.03,53.03,53.03,Unknown,François Damiens,French,France,89.0,François Damiens, Christian Brahy, Matteo Salamone,Comedy,Unknown,Unknown,0.0,0.0,2245264.324092917,14.624333811244687,Comedy,Unknown
tt1135992,Wonderful Town,2007,10,4487.0,65.0,88.0,60.48,60.48,Not Rated,Aditya Assarat,Thai,Thailand,92.0,Anchalee Saisoontorn, Supphasit Kansen, Dul Yaambunying,Drama,Romance,Unknown,0.0,0.0,5863.9464749061935,8.67657811578032,Drama,Romance
tt6916362,Journal 64,2018,10,153835.0,74.0,72.11,72.11,72.11,Not Rated,Christoffer Boe,Danish,Denmark,118.0,Nikolaj Lie Kaas, Fares Fares, Johanne Louise Schmidt,Thriller/Horror,Thriller/Horror,Mystery,0.0,0.0,166003.61578928505,12.019764848964622,Thriller/Horror,Thriller/Horror
tt6096948,Let the Girls Play,2018,4,592954.0,60.0,55.56,55.56,55.56,Not Rated,Julien Hallard,French,France,90.0,Max Boublil, Vanessa Guide, Bruno Lochet,Comedy,Unknown,Unknown,0.0,0.0,639857.6916613238,13.36900107383174,Comedy,Unknown
tt6293042,Outrage Coda,2017,10,11974433.0,64.0,60.0,58.0,68.0,Unknown,Takeshi Kitano,Japanese,Japan,104.0,Takeshi Kitano, Toshiyuki Nishida, Tatsuo Nadaka,Drama,Action/Adventure,Crime,0.0,0.0,13237239.352194844,16.39854457858991,Drama,Action/Adventure
tt1288494,U me dobrý,2008,5,1165011.0,64.0,71.0,71.0,71.0,Unknown,Jan Hrebejk,Czech,Czech Republic,102.0,Jirí Schmitzer, Bolek Polívka, Lenka Vlasáková,Comedy,Unknown,Unknown,0.0,0.0,1466226.8090551456,14.19820286232356,Comedy,Unknown
tt9615680,Yolki poslednie,2018,12,127616.0,43.0,61.35,61.35,61.35,Unknown,"Egor Baranov, Nikolai Bulygin, Aleksandr Kott",Russian,Russia,96.0,Konstantin Khabenskiy, Ivan Urgant, Sergey Svetlakov,Comedy,Unknown,Unknown,0.0,0.0,137710.64733360682,11.832910004411646,Comedy,Unknown
