original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
In Search of a Midnight Kiss,tt0989000,2007-04-27,0,90,65.28999999999999,en,Comedy,Drama,Romance,,,,,,,2007,04
Goal! II: Living the Dream,tt0473360,2007-02-09,7864905,115,60.0,en,Drama,,,,,,,,,2007,02
Sicko,tt0386032,2007-05-18,24538513,123,73.71000000000001,en,Documentary,Comedy,Drama,,,,,,,2007,05
A Mighty Heart,tt0829459,2007-06-22,18928871,100,63.96,en,Drama,Thriller,,,,,,,,2007,06
1408,tt0450385,2007-06-22,132963417,104,66.69,en,Horror,Mystery,,,,,,,,2007,06
Death at a Funeral,tt0795368,2007-08-17,46789413,90,68.78999999999999,en,Comedy,Drama,,,,,,,,2007,08
Clubland,tt0432264,2007-06-28,0,105,53.0,en,Drama,Comedy,Romance,,,,,,,2007,06
Live Free or Die Hard,tt0337978,2007-06-20,383531464,128,65.92,en,Action,Thriller,,,,,,,,2007,06
License to Wed,tt0762114,2007-07-04,69307224,91,56.980000000000004,en,Comedy,,,,,,,,,2007,07
Evening,tt0765447,2007-06-09,20016753,117,58.6,en,Drama,Romance,,,,,,,,2007,06
Evan Almighty,tt0413099,2007-06-09,174440724,96,55.410000000000004,en,Fantasy,Comedy,Family,,,,,,,2007,06
Transformers,tt0418279,2007-06-27,709709780,143,67.52,en,Adventure,Science Fiction,Action,,,,,,,2007,06
Captivity,tt0374563,2007-03-09,10921200,84,49.029999999999994,en,Crime,Horror,Thriller,,,,,,,2007,03
Harry Potter and the Order of the Phoenix,tt0373889,2007-06-28,938212738,138,76.89,en,Adventure,Fantasy,Mystery,,,,,,,2007,06
I Now Pronounce You Chuck & Larry,tt0762107,2007-07-12,187134117,115,60.14,en,Comedy,Romance,,,,,,,,2007,07
Arn: Tempelriddaren,tt0837106,2007-12-25,0,139,62.0,sv,Action,Adventure,Drama,Romance,,,,,,2007,12
Across the Universe,tt0445922,2007-09-14,29625761,133,71.42,en,Drama,Romance,Fantasy,,,,,,,2007,09
Broken English,tt0772157,2007-11-22,0,97,61.0,en,Comedy,Drama,Romance,,,,,,,2007,11
A Dog's Breakfast,tt0796314,2007-03-03,0,88,65.22,en,Comedy,Horror,,,,,,,,2007,03
Hot Rod,tt0787475,2007-08-03,14334401,88,64.0,en,Comedy,Action,Drama,,,,,,,2007,08
