original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
Crimson Tide,tt0112740,157387195,116,71.56,en,Thriller,Drama,Action,,,,,,,,1995,05
Crumb,tt0109508,3174695,119,75.4,en,Documentary,,,,,,,,,,1994,09
Desperado,tt0112851,25405445,104,68.97999999999999,en,Thriller,Action,Crime,,,,,,,,1995,08
Devil in a Blue Dress,tt0112857,16140822,102,63.17,en,Thriller,Crime,Drama,Mystery,,,,,,,1995,09
Die Hard: With a Vengeance,tt0112864,366101666,128,72.4,en,Action,Thriller,,,,,,,,,1995,05
The Doom Generation,tt0112887,0,80,62.59,en,Action,Comedy,Crime,Drama,,,,,,,1995,10
First Knight,tt0113071,127600435,134,60.55,en,Action,Adventure,Drama,Romance,,,,,,,1995,07
Free Willy 2: The Adventure Home,tt0113114,30000000,95,59.489999999999995,en,Family,Adventure,Drama,,,,,,,,1995,07
Hackers,tt0113243,7563728,107,62.67,en,Action,Crime,Thriller,Drama,,,,,,,1995,09
Jeffrey,tt0113464,3487767,92,65.7,en,Comedy,Drama,Romance,,,,,,,,1995,08
Johnny Mnemonic,tt0113481,19075720,97,57.45,en,Science Fiction,Thriller,Adventure,Action,Drama,,,,,,1995,05
Judge Dredd,tt0113492,113493481,96,57.61,en,Science Fiction,,,,,,,,,,1995,06
Jury Duty,tt0113500,17014653,88,45.0,en,Comedy,Drama,,,,,,,,,1995,04
Kids,tt0113540,20412216,91,68.69,en,Drama,Crime,,,,,,,,,1995,07
Living in Oblivion,tt0113677,1148752,89,71.56,en,Comedy,,,,,,,,,,1995,07
Lord of Illusions,tt0113690,0,119,60.300000000000004,en,Horror,Fantasy,,,,,,,,,1995,08
Love & Human Remains,tt0107447,0,100,59.0,en,Comedy,Drama,,,,,,,,,1994,07
Mad Love,tt0113729,15453274,95,52.800000000000004,en,Drama,Romance,,,,,,,,,1995,05
Mallrats,tt0113749,2122561,94,67.61999999999999,en,Romance,Comedy,,,,,,,,,1995,10
Mighty Morphin Power Rangers: The Movie,tt0113820,66400000,96,57.92,en,Action,Adventure,Science Fiction,Fantasy,,,,,,,1995,06
Mute Witness,tt0110604,0,95,62.79,en,Thriller,Horror,,,,,,,,,1995,09
Nadja,tt0110620,0,93,55.98,en,Horror,Thriller,,,,,,,,,1994,09
The Net,tt0113957,110627965,114,59.76,en,Crime,Drama,Mystery,Thriller,Action,,,,,,1995,07
Nine Months,tt0113986,138510230,103,57.160000000000004,en,Romance,Comedy,,,,,,,,,1995,07
Party Girl,tt0114095,472370,94,61.0,en,Comedy,,,,,,,,,,1995,06
The Prophecy,tt0114194,16115878,98,65.11,en,Horror,Fantasy,Thriller,,,,,,,,1995,09
Reckless,tt0114241,0,91,70.0,en,Fantasy,Comedy,Drama,,,,,,,,1995,11
Safe,tt0114323,0,119,69.19,en,Drama,,,,,,,,,,1995,06
The Scarlet Letter,tt0114345,10382407,135,60.25,en,Drama,Romance,Western,,,,,,,,1995,10
Showgirls,tt0114436,20350754,131,55.279999999999994,en,Drama,,,,,,,,,,1995,09
Smoke,tt0114478,8349430,112,72.69,en,Comedy,Drama,,,,,,,,,1995,06
Something to Talk About,tt0114496,50892160,106,56.31,en,Comedy,Drama,,,,,,,,,1995,08
Species,tt0114508,113374103,108,59.22,en,Science Fiction,Horror,Action,,,,,,,,1995,07
Strange Days,tt0114558,7959291,145,70.16,en,Crime,Drama,Science Fiction,Thriller,,,,,,,1995,10
Les Parapluies de Cherbourg,tt0058450,0,91,74.28,fr,Drama,Romance,,,,,,,,,1964,02
Three Wishes,tt0114663,7027000,115,62.0,en,Fantasy,Family,Drama,,,,,,,,1995,10
Total Eclipse,tt0114702,339889,111,64.46,en,Drama,Romance,,,,,,,,,1995,11
"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682,47774193,109,73.0,en,Comedy,,,,,,,,,,1995,09
Under Siege 2: Dark Territory,tt0114781,104324083,100,58.32,en,Action,Thriller,,,,,,,,,1995,07
Unstrung Heroes,tt0114798,0,93,60.0,en,Comedy,Drama,Family,,,,,,,,1995,09
Unzipped,tt0114805,0,73,56.0,en,Documentary,,,,,,,,,,1995,08
A Walk in the Clouds,tt0114887,50012507,103,71.94,en,Drama,Romance,,,,,,,,,1995,08
Waterworld,tt0114898,264218220,135,61.61,en,Adventure,Action,Science Fiction,,,,,,,,1995,07
White Man's Burden,tt0114928,0,89,52.13,en,Drama,,,,,,,,,,1995,12
Wild Bill,tt0114938,2193982,98,56.980000000000004,en,Action,Western,,,,,,,,,1995,12
The Browning Version,tt0109340,487391,97,62.43000000000001,en,Drama,,,,,,,,,,1994,06
Bushwhacked,tt0112602,7919823,90,53.0,en,Adventure,Family,Comedy,Action,,,,,,,1995,08
Утомлённые солнцем,tt0111579,2616503,135,71.0,ru,Drama,,,,,,,,,,1994,05
Пред дождот,tt0110882,763847,113,73.0,mk,Drama,War,,,,,,,,,1994,06
Before Sunrise,tt0112471,5987386,101,79.62,en,Drama,Romance,,,,,,,,,1995,01
Billy Madison,tt0112508,26488734,90,61.91,en,Comedy,,,,,,,,,,1995,02
The Babysitter,tt0112438,0,90,53.31,en,Drama,Thriller,,,,,,,,,1995,10
Boys on the Side,tt0112571,23450000,115,63.49,en,Comedy,Drama,,,,,,,,,1995,02
The Cure,tt0112757,0,97,79.21000000000001,en,Drama,Family,,,,,,,,,1995,04
Castle Freak,tt0112643,0,95,62.29,en,Thriller,Drama,Horror,Mystery,,,,,,,1995,11
Circle of Friends,tt0112679,0,103,64.29,en,Drama,Romance,,,,,,,,,1995,04
Clerks,tt0109445,3151130,92,74.21000000000001,en,Comedy,,,,,,,,,,1994,09
Don Juan DeMarco,tt0112883,68792531,97,67.0,en,Romance,Drama,Comedy,,,,,,,,1994,10
Disclosure,tt0109635,214015089,123,62.36,en,Thriller,Drama,Crime,,,,,,,,1994,03
Drop Zone,tt0109676,28735315,101,56.46,en,Action,Thriller,,,,,,,,,1994,12
Destiny Turns on the Radio,tt0112854,0,102,51.41,en,Crime,Comedy,Fantasy,,,,,,,,1995,04
Death and the Maiden,tt0109579,0,103,71.39999999999999,en,Drama,Thriller,Mystery,,,,,,,,1994,05
Dolores Claiborne,tt0109642,0,132,72.56,en,Crime,Drama,Mystery,,,,,,,,1995,03
Dumb and Dumber,tt0109686,247275374,107,65.94,en,Comedy,,,,,,,,,,1994,12
飲食男女,tt0111797,7294403,123,75.0,zh,Comedy,Drama,Romance,,,,,,,,1994,08
Exotica,tt0109759,4221036,104,66.0,en,Drama,Mystery,,,,,,,,,1994,11
Exit to Eden,tt0109758,6841570,113,40.0,en,Comedy,Crime,Thriller,,,,,,,,1994,10
Ed Wood,tt0109707,5887457,127,75.08,en,Comedy,Drama,History,,,,,,,,1994,09
