,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,,,,,,,tt0112427,Domestic,"Jul 21, 1995","$49,429","$259,724",,,,,
0,,,,,,,tt0109093,Domestic,"May 19, 1995",–,"$757,088",,,,,
0,Original Release,"June 30-November 8, 1995","EMEA, Domestic","$172,071,312","$51,766,099","$223,837,411",tt0112384,,,,,,,,,
0,,,,,,,tt0114287,Domestic,"Apr 7, 1995","$2,023,272","$31,596,911",,,,,
0,,,,,,,tt0112288,Domestic,"Oct 6, 1995","$46,448","$307,308",,,,,
0,Original Release,"June 16, 1995",Domestic,"$184,031,112",–,"$184,031,112",tt0112462,,,,,,,,,
0,Original Release,"June 28, 1995",Domestic,"$4,037,017",–,"$4,037,017",tt0061395,,,,,,,,,
0,,,,,,,tt0112495,Domestic,"Aug 25, 1995","$2,007,527","$5,750,110",,,,,
0,,,,,,,tt0112541,Domestic,"Oct 13, 1995","$104,365","$1,268,636",,,,,
0,,,,,,,tt0109370,Domestic,"Sep 22, 1995","$53,349","$163,971",,,,,
0,,,,,,,tt0112642,Domestic,"May 26, 1995","$16,840,385","$100,328,194",,,,,
0,,,,,,,tt0112688,Domestic,"Sep 15, 1995","$4,463,560","$13,071,518",,,,,
0,,,,,,,tt0112715,Domestic,"Jun 9, 1995","$24,642,539","$81,022,101",,,,,
0,,,,,,,tt0112740,Domestic,"May 12, 1995","$18,612,190","$91,387,195",,,,,
0,,,,,,,tt0109508,Domestic,"Apr 21, 1995","$19,859","$3,041,083",,,,,
0,,,,,,,tt0112851,Domestic,"Aug 25, 1995","$7,910,446","$25,405,445",,,,,
0,Original Release,"September 29, 1995",Domestic,"$16,140,822",–,"$16,140,822",tt0112857,,,,,,,,,
0,,,,,,,tt0112864,Domestic,"May 19, 1995","$22,162,245","$100,012,499",,,,,
0,,,,,,,tt0112887,Domestic,"Oct 25, 1995","$27,812","$284,785",,,,,
0,,,,,,,tt0113071,Domestic,"Jul 7, 1995","$10,856,442","$37,600,435",,,,,
