,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,,,,,tt2335444,,,,,,,Laura Dunn,Director,,,,
0,,,,,tt1485796,Original Release,"December 20-February 16, 2018",71 markets,"$174,340,174","$260,653,009","$434,993,183",,,,,,
0,Domestic,"Dec 15, 2017","$13,401,586","$84,410,380",tt3411444,,,,,,,,,,,,
0,,,,,tt5124774,Original Release,"August 12-March 8, 2017",EMEA,–,"$1,512,860","$1,512,860",,,,,,
0,,,,,tt2883264,,,,,,,David Wilkinson,Director,,,,
0,,,,,tt1464783,,,,,,,Jeanie Finlay,Director,,,,
0,United Kingdom,"Jul 15, 2016","$30,553","$48,441",tt3688612,,,,,,,,,,,,
0,,,,,tt3514330,,,,,,,Syed Ahmad Afzal,Director,,,,
0,United Arab Emirates,"Nov 23, 2017","$57,002","$97,606",tt6800942,,,,,,,,,,,,
0,United Arab Emirates,"Nov 2, 2017","$401,619","$531,508",tt6616800,,,,,,,,,,,,
0,,,,,tt1834306,,,,,,,Brent Miller Jr.,Director,,,,
0,,,,,tt7539884,,,,,,,Brian Klein,Director,,,,
0,Domestic,"Jul 14, 2017","$3,006","$7,519",tt6091028,,,,,,,,,,,,
0,,,,,tt6678950,,,,,,,Guy Vasilovich,Director,,,,
0,,,,,tt6225520,Original Release,"November 22, 2017-November 25, 2020",9 markets,"$5,676,486","$2,441,182","$8,117,668",,,,,,
0,Domestic,"Nov 17, 2017",–,"$1,481",tt4955566,,,,,,,,,,,,
0,United Arab Emirates,"Nov 16, 2017","$228,696","$496,738",tt6791730,,,,,,,,,,,,
0,Türkiye,"Jan 23, 2009","$555,543","$3,105,177",tt0425080,,,,,,,,,,,,
0,,,,,tt2388621,,,,,,,Tommy Oliver,Director,,,,
0,,,,,tt7259100,,,,,,,Roman Karimov,Director,,,,
0,United Arab Emirates,"Nov 16, 2017","$101,363","$194,636",tt7060460,,,,,,,,,,,,
0,,,,,tt2741564,,,,,,,Mitchell Lichtenstein,Director,,,,
0,,,,,tt3011960,,,,,,,Johnny Martin,Director,,,,
0,,,,,tt3186788,,,,,,,Greg Sneddon,Director,,,,
0,,,,,tt4651460,Original Release,"February 4-5, 2016",EMEA,–,"$2,814,748","$2,814,748",,,,,,
0,,,,,tt5068452,,,,,,,Josh Lowell,Director,,,,
0,,,,,tt1584730,,,,,,,Anthony G. Sumner,Director,,,,
0,,,,,tt5212918,,,,,,,Jason Headley,Director,,,,
0,,,,,tt6892388,,,,,,,Marcus Raboy,Director,,,,
0,Domestic,"Sep 8, 2017","$3,522","$21,439",tt6333066,,,,,,,,,,,,
0,Domestic,"Nov 3, 2017","$8,362","$8,362",tt6495526,,,,,,,,,,,,
0,,,,,tt4551318,Original Release,"January 19-October 6, 2017",4 markets,"$14,873","$906,369","$921,242",,,,,,
0,United Kingdom,"Jun 3, 2016","$18,087","$51,339",tt5536398,,,,,,,,,,,,
0,United Kingdom,"Apr 3, 2009","$38,083","$142,878",tt1202056,,,,,,,,,,,,
0,France,"Feb 3, 2010","$678,891","$1,237,785",tt1417040,,,,,,,,,,,,
0,,,,,tt4762592,,,,,,,Giorgio Serafini,Director,,,,
0,,,,,tt1727497,,,,,,,Jan Verheyen,Director,,,,
